title,company-name,location,type,salary_package,company_requirements
Machine Maintenance Mechanic with 10 to 15 years Experience for Madurai,Padmashri Brush World Kappalur Madurai,"Madurai, Tamil Nadu",,"₹20,000 - ₹25,000","Do you have experience in pneumatic systems and simple electrical systems?
Pay: ₹18,000.00 - ₹20,000.00 per month.
Knowledge in PLC is a plus."
Staff Nurse - Erode,Be Well Hospitals Pvt Ltd4.3,"Chennai, Tamil Nadu",,"₹20,000 - ₹25,000","Keeping an eye on each and every aspect of patient care includes physical activity plus proper diet.
Maintaining a hygienic and safe working environment in…"
Godown Incharge,Shri Anandeshwari Home Pvt. Ltd.,"Bijapur, Karnataka",,"From ₹15,000","Coordination with Sales & Logistics to ensure timely delivery of Cement.
Daily Reports in Excel Sheet.
Pay: From ₹15,000.00 per month."
MEP Storekeeper,Pieco India Engg. co. pvt ltd.,"Vrindavan, Uttar Pradesh",Full-time ,,"Implement and maintain an effective material tracking and categorization system.
Pay: ₹22,000.00 - ₹27,000.00 per month."
Virtual Assistant,Tasks Expert Virtual Employee Services Pvt. Ltd,"Remote in Kalyan, Maharashtra",,"₹22,000 - ₹27,000","We are dedicated to improving our operational efficiency and strategic planning, and we are seeking a talented Business Analyst to join our team and help drive…"
Field Information Officer,Centre for Monitoring Indian Economy Pvt. Ltd,"Gangtok, Sikkim",Full-time,,"Educational qualification- Any graduate or Post Graduate with minimum 3-4 years of survey experience.
Pay: ₹20,000.00 - ₹25,000.00 per month."
Data Science AI-Intern,AS Global Soft Tech,"Kavundampalayam, Coimbatore, Tamil Nadu",Full-time,,We are a team of creatives and dedicated workers with an objective to help our clients in reforming the quality of their Digital.
Business Administrator,Thermo Logic Asia Trading Private Limited,"Vasai, Maharashtra",,"₹8,988.69 - ₹15,200.09","Provides high-level administrative support to an assigned executive or director-level employee.
Pay: ₹50,000.00 - ₹65,000.00 per month."
Executive Assistant/Recruiter,Agnos,Remote,Full-time ,,Our partnership with medical practices and other healthcare tech companies has helped raise the bar for product development and service delivery in an industry…
Robot Operator,Traumvogel India Private Limited,"Vithlpura, Ahmedabad, Gujarat",Full-time,,"Only interested candidates call on: Sanjith Kumar: 9625356174.
Pay: ₹20,000.00 - ₹23,000.00 per month.
Hiring: Spot Welder or Robot Operator- 100 Nos."
Field Information Officer,Centre for Monitoring Indian Economy Pvt. Ltd,"Gangtok, Sikkim",,"₹8,988.69 - ₹15,200.09","Educational qualification- Any graduate or Post Graduate with minimum 3-4 years of survey experience.
Job Responsibility- The candidates will Responsible for…"
Customer Support Representative,AeronFly International Private Limited,"Pali, Rajasthan",Full-time ,,"Resolve customer issues by clarifying the customer's complaint, determining the cause of the problem, and selecting the best solution."
Home tuitions,Yukti Home Tutors,"Indore, Madhya Pradesh",,"₹20,000 - ₹25,000","Must have a graduation degree.
We also offer test preparation services, especially to 10th & 12th students, so you must be able to work with older student on…"
Business Administrator,Thermo Logic Asia Trading Private Limited,"Vasai, Maharashtra",,,"Provides high-level administrative support to an assigned executive or director-level employee.
Prolonged periods sitting at a desk and working on a computer."
Executive,Larsen & Toubro,"Powai, Mumbai, Maharashtra",,,"This includes designing interactive and visually compelling dashboards, performing in-depth data analyses, and creating reports that translate complex datasets…"
Robot Operator,Traumvogel India Private Limited,"Vithlpura, Ahmedabad, Gujarat",,"₹50,000 - ₹65,000","Qualification: 8 pass or 10 pass or 12 pass or ITI Any.
Facilities Available: Canteen, Bus, Room. ."
"Admission Counselor, Student Counselor",Chahal Academy Private Limited,"Mumbai, Maharashtra",Full-time,,"Education in various models of teaching, best counseling practices and regulations.
You will serve as the facilitator for the attaining of students’ academic or…"
Presales Solution Architect,Adobe4.3,"Bengaluru, Karnataka",Monday to Friday,,Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
Speech and Drama Teacher,Helen O'Grady International,"Chembur, Mumbai, Maharashtra",,"₹6,00,000 - ₹7,00,000",*Have an energetic and positive attitude to travel to schools and institutions where the company conducts its classes around Mumbai.
Machine Maintenance Mechanic with 10 to 15 years Experience for Madurai,Padmashri Brush World Kappalur Madurai,"Madurai, Tamil Nadu",,"₹25,000 - ₹45,000","We are looking for Machine Maintenance Staff with 10 to 15 years experience.
Experience with machinery, pneumatic systems and simple electrical knowledge…"
Customer Onboarding & Support Executive,eZee Technosys Pvt. Ltd.,"Majura Gate, Surat, Gujarat",,,"Maintain policies and procedures when working with clients and provide appropriate information.
Pay: ₹20,000.00 - ₹30,000.00 per month."
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"₹6,00,000 - ₹7,00,000","COREL DRAW TOOLS EXPERIENCE MUST.
Mohali, Punjab: Reliably commute or planning to relocate before starting work (Preferred)."
"Mechanical Maintenance Supervisor (Vadodara,Gujarat)",Bharat Corrub Industries LLP,"Vadodara, Gujarat",,"₹8,988.69 - ₹15,200.09","Rubber industry: 3 years (Preferred).
*Preferable to have worked in Rubber industry*.
Taking care of the entire maintenance department."
Customer Onboarding & Support Executive,eZee Technosys Pvt. Ltd.,"Majura Gate, Surat, Gujarat",Full-time,,"Maintain policies and procedures when working with clients and provide appropriate information.
Pay: ₹20,000.00 - ₹30,000.00 per month."
Data Analytics Fresher,RP2,"Kochi, Kerala",,,This is an excellent opportunity for recent graduates to kick-start their careers in data analytics by working on real-world projects and learning from…
Presales Solution Architect,Adobe4.3,"Bengaluru, Karnataka",,"₹2,40,000 - ₹6,00,000",Identify business problems and tie your proposed solutions to measurable success criteria Excellent customer-facing skills with experience presenting to and…
Speech and Drama Teacher,Helen O'Grady International,"Chembur, Mumbai, Maharashtra",,"₹8,988.69 - ₹15,200.09",*Have an energetic and positive attitude to travel to schools and institutions where the company conducts its classes around Mumbai.
"Virtual Customer Support Associate - Andhra Pradesh,India",Amazon.com,"Remote in Visakhapatnam, Andhra Pradesh",Full-time,,"Doing our best for our customers is where we get our energy, and that’s why you’ll find we approach things differently here.
What strengths will you bring?"
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"₹8,988.69 - ₹15,200.09","Pay: ₹10,000.00 - ₹30,000.00 per month.
HERE IS AN URGENT REQUIREMENT FOR GRAPHIC DESIGNER IN REPUTED PHARMA IN MOHALI LOCATION."
Data Science AI-Intern,AS Global Soft Tech,"Kavundampalayam, Coimbatore, Tamil Nadu",Full-time ,,We are a team of creatives and dedicated workers with an objective to help our clients in reforming the quality of their Digital.
tellecaller,Kumar Associates,"Raipur, Chhattisgarh",,"₹15,000 - ₹25,000","Maintain database of candidate records and providing guidance, training to staff for recuriting process and helping youngster to Financial independent."
Associate - Home Loans Documentation (Operations),Morgan Stanley,"Bengaluru, Karnataka",Part-time,,Partner with Home Loans to provide feedback via document labeling when uploaded documentation is illegible and/or further documentation is needed.
Chat Support Executive,3G HR SERVICES,"Begumpet, Hyderabad, Telangana",,,"6 Days working , Day Shift.
Rotational week off & Rotational shift.
Non-voice Process: 1 year (Preferred).
Excellent comms in Hindi & English."
Virtual Assistant,Tasks Expert Virtual Employee Services Pvt. Ltd,"Remote in Kalyan, Maharashtra",,"₹2,40,000 - ₹6,00,000","Manage day-to-day office operations and procedures.
Schedule meetings, appointments, and travel arrangements for senior management."
Associate - Home Loans Documentation (Operations),Morgan Stanley,"Bengaluru, Karnataka",Full-time,,Partner with Home Loans to provide feedback via document labeling when uploaded documentation is illegible and/or further documentation is needed.
Client Support Intern,Morelife Technologies Private Limited,Remote,,"₹20,000 - ₹30,000","Work schedule: Monday to Friday – 11 am to 9 pm and Saturday 11 am to 5 pm.
Attention to detail, one that ensures accuracy and manages the datasheets in an…"
Digital Marketing Intern,Rajkamal Barscan Systems Pvt Ltd,Remote,,"From ₹15,000","For a candidate, who is well versed with skills, stipend range won't be an issue, we would gladly pay them on higher side of the scale."
Godown Incharge,Shri Anandeshwari Home Pvt. Ltd.,"Bijapur, Karnataka",,"₹22,000 - ₹27,000","Coordination with Sales & Logistics to ensure timely delivery of Cement.
Daily Reports in Excel Sheet.
Depots Visits as per Visit Plan shared by Head Office."
Graphic Designer (COREL DRAW),NBHEALTHCARE,"Mohali, Punjab",,"₹2,40,000 - ₹6,00,000","COREL DRAW TOOLS EXPERIENCE MUST.
Mohali, Punjab: Reliably commute or planning to relocate before starting work (Preferred)."
Chat Support Executive,3G HR SERVICES,"Begumpet, Hyderabad, Telangana",Full-time,,"6 Days working , Day Shift.
Rotational week off & Rotational shift.
Non-voice Process: 1 year (Preferred).
Excellent comms in Hindi & English."
Client Support Intern,Morelife Technologies Private Limited,Remote,,,"Work schedule: Monday to Friday – 11 am to 9 pm and Saturday 11 am to 5 pm.
Attention to detail, one that ensures accuracy and manages the datasheets in an…"
"Virtual Customer Support Associate - Andhra Pradesh,India",Amazon.com,"Remote in Visakhapatnam, Andhra Pradesh",,"₹20,000 - ₹30,000","In order to match our customer demand, we schedule based on a variety of different shift patterns within the operating hours of 6 am and 11 pm Sunday to Monday."
International Customer Service Representative,Aiva Technologies,"Electronic City, Bengaluru, Karnataka",Full-time,," Previous experience in a semi-voice process or customer service role is an advantage.
 Willingness to work in shifts aligned with Australian business hours."
Digital Marketing Intern,Rajkamal Barscan Systems Pvt Ltd,Remote,,,"For a candidate, who is well versed with skills, stipend range won't be an issue, we would gladly pay them on higher side of the scale."
Customer Onboarding & Support Executive,eZee Technosys Pvt. Ltd.,"Majura Gate, Surat, Gujarat",,"From ₹15,000","Maintain policies and procedures when working with clients and provide appropriate information.
Be able to understand the nature of client issues and resolve…"
E-commerce Associate,Wellversed,"Gurugram, Haryana",Full-time,,"Monitor and evaluate implemented solutions to measure their impact and identify areas for further improvement.
Build strong relationships with key stakeholders."
Field Information Officer,Centre for Monitoring Indian Economy Pvt. Ltd,"Gangtok, Sikkim",,"₹2,40,000 - ₹6,00,000","Educational qualification- Any graduate or Post Graduate with minimum 3-4 years of survey experience.
Job Responsibility- The candidates will Responsible for…"
Data Entry Operator,Crypto Mize,Delhi,,,"CryptoMize, with the help of its special mix of Forensics and Consultancy, aims to handle all sorts of cyber crimes affecting your organisation and provide you…"
Video Editor,Nago Media LLP,Remote,Full-time ,,"2 Months as an intern where you get accustomed to our editing practices and operating procedures.
Video Editing: 3 years (Required)."
